trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,entry,sl,tp1,tp2,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,sl_pips,tp1_pips,tp2_pips
19bc26e0-584a-416d-88c9-6888b7d1997c,65aad8b1-3012-4952-add3-29b3e07038c2,EURUSD,SELL,2024,Asia,A,1.11769,1.12132,1.11406,1.11042,1.11769,1.12132,1.11406,1.11042,0.01,277057,2024-09-27 00:15:00+00:00,277792,2024-09-27 12:30:00+00:00,CLOSED,BREAKEVEN,2.07,1.11719,SL_HIT,36.3,36.3,72.7
417b4d58-ad3c-44a3-b07d-db7de5012bbc,2f8eb863-91ef-4a0f-9993-2a510934746f,EURUSD,SELL,2024,London,B,1.12019,1.12382,1.11656,1.11292,1.12019,1.12382,1.11656,1.11292,0.01,277833,2024-09-27 13:11:00+00:00,279000,2024-09-30 08:42:00+00:00,CLOSED,BREAKEVEN,2.07,1.11969,SL_HIT,36.3,36.3,72.7
87e33a09-a319-4e5d-8004-4b19a25e40ec,7d83521e-a373-4c0d-8ef8-b258beaf6bf5,EURUSD,SELL,2024,Asia,A,1.11688,1.12084,1.11292,1.10897,1.11688,1.12084,1.11292,1.10897,0.01,278493,2024-09-30 00:15:00+00:00,279015,2024-09-30 08:57:00+00:00,CLOSED,LOSS,-3.96,1.12084,SL_HIT,39.6,39.6,79.1
4bf96ea5-72d8-4f62-a4ba-7785be29c4a5,3863b03f-4c34-41f1-b249-e3dc61aa6446,EURUSD,SELL,2024,London,B,1.11938,1.12334,1.11542,1.11147,1.11938,1.12334,1.11542,1.11147,0.01,278990,2024-09-30 08:32:00+00:00,279578,2024-09-30 18:20:00+00:00,CLOSED,WIN,5.94,1.11147,TP2_HIT,39.6,39.6,79.1
92ec68d1-d01d-47c9-bb0c-9fd04be69562,bb82d2a9-9076-403c-b98a-a5e7b50d373d,EURUSD,BUY,2024,Asia,A,1.11365,1.10958,1.11772,1.12179,1.11365,1.10958,1.11772,1.12179,0.01,279933,2024-10-01 00:15:00+00:00,280500,2024-10-01 09:42:00+00:00,CLOSED,LOSS,-4.07,1.10958,SL_HIT,40.7,40.7,81.4
5c15b394-0c1f-4468-8aba-b46d0845ecfa,4516136e-0d7e-4796-b8c1-c51b2ec4875b,EURUSD,BUY,2024,London,B,1.11115,1.10708,1.11522,1.11929,1.11115,1.10708,1.11522,1.11929,0.01,280349,2024-10-01 07:11:00+00:00,280695,2024-10-01 12:57:00+00:00,CLOSED,LOSS,-4.07,1.10708,SL_HIT,40.7,40.7,81.4
bdac5f86-825b-46a4-8565-267d96450b1d,4e5b210f-b746-4e5e-af96-e783ca3f09cd,EURUSD,BUY,2024,Asia,A,1.10645,1.10218,1.11072,1.115,1.10645,1.10218,1.11072,1.115,0.01,281372,2024-10-02 00:15:00+00:00,283637,2024-10-03 14:00:00+00:00,CLOSED,LOSS,-4.27,1.10218,SL_HIT,42.7,42.7,85.5
2d8a4f28-4a8c-490d-8358-3eb42e7069db,f11d1a21-22e9-47b8-b08f-736fc5f05cfc,EURUSD,BUY,2024,London,B,1.10395,1.09968,1.10822,1.1125,1.10395,1.09968,1.10822,1.1125,0.01,282233,2024-10-02 14:36:00+00:00,284986,2024-10-04 12:30:00+00:00,CLOSED,LOSS,-4.27,1.09968,SL_HIT,42.7,42.7,85.5
04844b60-6a31-4ac4-86f7-8ba9f098545c,2bb5a8fb-840c-4286-8e31-64dd1dab2a37,EURUSD,BUY,2024,Asia,A,1.10458,1.10073,1.10843,1.11228,1.10458,1.10073,1.10843,1.11228,0.01,282812,2024-10-03 00:15:00+00:00,284986,2024-10-04 12:30:00+00:00,CLOSED,LOSS,-3.85,1.10073,SL_HIT,38.5,38.5,77.0
b88b4e04-57d6-401d-9883-d50dce8b882b,62d6cfdb-594e-49e2-a67f-dd5efa5600a5,EURUSD,BUY,2024,London,B,1.10208,1.09823,1.10593,1.10978,1.10208,1.09823,1.10593,1.10978,0.01,283637,2024-10-03 14:00:00+00:00,284986,2024-10-04 12:30:00+00:00,CLOSED,LOSS,-3.85,1.09823,SL_HIT,38.5,38.5,77.0
df14b82b-e8b9-41e9-b6bf-e9c4e5c5eb7d,1dabbfcd-ca9b-4fa1-a6ed-49d5f51aefc2,EURUSD,BUY,2024,Asia,A,1.10349,1.09986,1.10712,1.11074,1.10349,1.09986,1.10712,1.11074,0.01,284251,2024-10-04 00:15:00+00:00,284986,2024-10-04 12:30:00+00:00,CLOSED,LOSS,-3.63,1.09986,SL_HIT,36.3,36.3,72.5
a1e58fae-7010-4219-9bc6-2c0cde1a59a6,7eda812d-bc41-463a-b105-d9e93436aff7,EURUSD,BUY,2024,London,B,1.10099,1.09736,1.10462,1.10824,1.10099,1.09736,1.10462,1.10824,0.01,284986,2024-10-04 12:30:00+00:00,284986,2024-10-04 12:30:00+00:00,CLOSED,LOSS,-3.63,1.09736,SL_HIT,36.3,36.3,72.5
80dd1755-65ff-41b3-a23e-8d977a65b050,f1974b2d-5654-450d-af7c-a8c1f903f93a,EURUSD,BUY,2024,Asia,B,1.09454,1.09081,1.09827,1.102,1.09454,1.09081,1.09827,1.102,0.01,285689,2024-10-07 00:15:00+00:00,286994,2024-10-07 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09454,EXPIRED_DAY_END,37.3,37.3,74.6
8edfb4ba-0c97-4f41-b793-387194851f4e,b8bfa313-602b-46d3-b5b8-bc0661667e6e,EURUSD,BUY,2024,Asia,B,1.09492,1.09182,1.09802,1.10113,1.09492,1.09182,1.09802,1.10113,0.01,287129,2024-10-08 00:15:00+00:00,288434,2024-10-08 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09492,EXPIRED_DAY_END,31.0,31.0,62.1
b6138320-7bf2-44e7-8c55-aa4b5585b10a,208f164a-30f1-401f-b499-c9cf864c3302,EURUSD,BUY,2024,Asia,A,1.09742,1.09432,1.10052,1.10363,1.09742,1.09432,1.10052,1.10363,0.01,287129,2024-10-08 00:15:00+00:00,289439,2024-10-09 14:45:00+00:00,CLOSED,LOSS,-3.1,1.09432,SL_HIT,31.0,31.0,62.1
a4401205-fa95-444b-9bc4-a0be24e92053,71296179-9797-4da0-b11c-2792f5039dbb,EURUSD,BUY,2024,Asia,A,1.09704,1.09331,1.10077,1.1045,1.09704,1.09331,1.10077,1.1045,0.01,285689,2024-10-07 00:15:00+00:00,290438,2024-10-10 07:25:00+00:00,CLOSED,LOSS,-3.73,1.09331,SL_HIT,37.3,37.3,74.6
0249beef-9e30-4e98-a356-80048ac8c56d,3ea4ed2e-90dd-4317-8358-f5cd90ae29e0,EURUSD,BUY,2024,Asia,A,1.09231,1.09016,1.09446,1.09662,1.09231,1.09016,1.09446,1.09662,0.01,292886,2024-10-14 00:15:00+00:00,293852,2024-10-14 16:21:00+00:00,CLOSED,LOSS,-2.15,1.09016,SL_HIT,21.5,21.5,43.1
41eb2b00-a130-43c8-aac0-7c139bd55623,25b583c4-1e3a-4192-9798-09dd632e27fc,EURUSD,BUY,2024,Asia,A,1.09089,1.08858,1.0932,1.09552,1.09089,1.08858,1.0932,1.09552,0.01,294325,2024-10-15 00:15:00+00:00,294668,2024-10-15 06:04:00+00:00,CLOSED,LOSS,-2.31,1.08858,SL_HIT,23.1,23.1,46.3
