trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips,tp3_pips
c6a4ffce-29b1-4437-9f3c-6bbf4fe75593,59a89fd5-b342-4885-887e-42734b786079,EURUSD,BUY,2024,Asia,B,1.07087,1.06819,1.07355,1.07624,1.07892,1.07087,1.06819,1.07355,1.07624,1.07892,0.01,46249,2024-02-15 00:15:00+00:00,47554,2024-02-15 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07087,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,26.8,26.8,53.7,80.5
ec7247cb-8dda-4915-a944-165d9528cbe7,0c13d92a-22d0-48e8-8ae5-447e0253c9ea,EURUSD,BUY,2024,Asia,A,1.07647,1.07364,1.0793,1.08213,1.08496,1.07647,1.07364,1.0793,1.08213,1.08496,0.01,47689,2024-02-16 00:15:00+00:00,48429,2024-02-16 12:35:00+00:00,CLOSED,LOSS,-2.83,1.07364,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.3,28.3,56.6,84.9
165eab9e-f9a8-4041-8be7-958055c35614,4fd5e750-ca55-426c-920a-66a93918a845,EURUSD,BUY,2024,Asia,A,1.07077,1.06811,1.07343,1.07608,1.07873,1.07077,1.06811,1.07343,1.07608,1.07873,0.01,44809,2024-02-14 00:15:00+00:00,48430,2024-02-16 12:36:00+00:00,CLOSED,WIN,3.33,1.07343,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,26.6,26.6,53.1,79.6
d95e9a19-a97b-4bbb-aa79-ddc75947f42a,c504ed58-2359-4fe4-a0dd-5657c9213e21,EURUSD,BUY,2024,Asia,A,1.07337,1.07069,1.07605,1.07874,1.08142,1.07337,1.07069,1.07605,1.07874,1.08142,0.01,46249,2024-02-15 00:15:00+00:00,48430,2024-02-16 12:36:00+00:00,CLOSED,BREAKEVEN,1.44,1.07357,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,26.8,26.8,53.7,80.5
1f607716-fab3-4c34-ba5d-7708cc5f7d10,9dc9bc5f-5442-4884-8923-78d03bf708d3,EURUSD,BUY,2024,London,B,1.07397,1.07114,1.0768,1.07963,1.08246,1.07397,1.07114,1.0768,1.07963,1.08246,0.01,48429,2024-02-16 12:35:00+00:00,51330,2024-02-20 12:57:00+00:00,CLOSED,WIN,4.94,1.08246,TP3_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.3,28.3,56.6,84.9
f0cfc6d2-7527-4218-a04c-f21aadb631c5,76afc049-7b73-4617-a945-e3e3a437c9bf,EURUSD,BUY,2024,Asia,B,1.07445,1.07162,1.07728,1.08011,1.08294,1.07445,1.07162,1.07728,1.08011,1.08294,0.01,50568,2024-02-20 00:15:00+00:00,51873,2024-02-20 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07445,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,28.3,28.3,56.6,84.9
7dd2ab5a-1b35-4a63-aa59-c65fbcfc705b,b8e23e32-1590-4fb8-8f45-71fba7a5ce12,EURUSD,BUY,2024,Asia,A,1.07695,1.07412,1.07978,1.08261,1.08544,1.07695,1.07412,1.07978,1.08261,1.08544,0.01,50568,2024-02-20 00:15:00+00:00,52470,2024-02-21 07:57:00+00:00,CLOSED,WIN,3.53,1.07978,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.3,28.3,56.6,84.9
01e8519b-485f-4fcc-a4b0-064f23277ffb,7b0b3114-e5ad-436d-83ec-a58183231dca,EURUSD,BUY,2024,Asia,B,1.0785,1.07587,1.08113,1.08376,1.08639,1.0785,1.07587,1.08113,1.08376,1.08639,0.01,52008,2024-02-21 00:15:00+00:00,53313,2024-02-21 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.0785,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,26.3,26.3,52.6,78.9
a103acde-658b-4893-becb-7c4c88609346,6f193151-1011-444d-9d6c-2ffffdff2997,EURUSD,BUY,2024,Asia,A,1.08302,1.08044,1.0856,1.08817,1.09075,1.08302,1.08044,1.0856,1.08817,1.09075,0.01,53448,2024-02-22 00:15:00+00:00,53937,2024-02-22 08:24:00+00:00,CLOSED,WIN,3.22,1.0856,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,25.8,25.8,51.5,77.3
56fbe939-8f6a-4709-adeb-221a69a2506e,18b7e848-df17-4af2-b13c-f71a0fdb41e1,EURUSD,BUY,2024,Asia,A,1.081,1.07837,1.08363,1.08626,1.08889,1.081,1.07837,1.08363,1.08626,1.08889,0.01,52008,2024-02-21 00:15:00+00:00,54177,2024-02-22 12:24:00+00:00,CLOSED,WIN,3.3,1.08363,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,26.3,26.3,52.6,78.9
e547040f-bcdd-4021-9478-ac5ed61d52d3,38ba7068-263f-4426-bb3a-38710b25fa19,EURUSD,BUY,2024,Asia,B,1.07968,1.07687,1.08249,1.0853,1.08812,1.07968,1.07687,1.08249,1.0853,1.08812,0.01,54888,2024-02-23 00:15:00+00:00,56191,2024-02-25 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07968,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,28.1,28.1,56.2,84.4
5cce59a7-9be8-4498-ab56-9e71cdeb8cd0,c678ddf7-caf3-4ac8-a38c-0ecf5499e298,EURUSD,BUY,2024,Asia,B,1.07914,1.0766,1.08168,1.08421,1.08675,1.07914,1.0766,1.08168,1.08421,1.08675,0.01,56326,2024-02-26 00:15:00+00:00,57631,2024-02-26 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07914,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,25.4,25.4,50.7,76.1
02398426-544f-47cc-80c4-a43715689cc7,38a5cf68-859a-4bb5-bd0f-dfa85f33bff5,EURUSD,BUY,2024,Asia,B,1.08223,1.0795,1.08496,1.0877,1.09043,1.08223,1.0795,1.08496,1.0877,1.09043,0.01,57766,2024-02-27 00:15:00+00:00,59071,2024-02-27 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.08223,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,27.3,27.3,54.7,82.0
88907e1e-4c38-44ba-8264-3923ad5c9877,ab6c19e8-df71-42ec-8aca-4d73d23fa8b6,EURUSD,BUY,2024,London,B,1.08052,1.07794,1.0831,1.08567,1.08825,1.08052,1.07794,1.0831,1.08567,1.08825,0.01,54255,2024-02-22 13:42:00+00:00,59452,2024-02-28 04:21:00+00:00,CLOSED,WIN,3.23,1.0831,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,25.8,25.8,51.5,77.3
0ba833f8-2c59-4bda-a170-3c0e3bdded1b,7fb3520a-eb36-429a-bfb6-2fc81ab7e8ac,EURUSD,BUY,2024,Asia,A,1.08218,1.07937,1.08499,1.0878,1.09062,1.08218,1.07937,1.08499,1.0878,1.09062,0.01,54888,2024-02-23 00:15:00+00:00,59538,2024-02-28 05:47:00+00:00,CLOSED,BREAKEVEN,1.5,1.08238,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.1,28.1,56.2,84.4
7e04b458-fbc5-48a7-bcd6-395f29450ecb,8032a001-08da-4f54-bdfd-993e6cf1197e,EURUSD,BUY,2024,Asia,A,1.08446,1.08217,1.08675,1.08904,1.09133,1.08446,1.08217,1.08675,1.08904,1.09133,0.01,59206,2024-02-28 00:15:00+00:00,59551,2024-02-28 06:00:00+00:00,CLOSED,LOSS,-2.29,1.08217,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,22.9,22.9,45.8,68.7
89c6147f-3709-4aa6-b423-a06e32df905a,4c15e194-6838-4d83-b241-ca5d17f29ae2,EURUSD,BUY,2024,Asia,A,1.08473,1.082,1.08746,1.0902,1.09293,1.08473,1.082,1.08746,1.0902,1.09293,0.01,57766,2024-02-27 00:15:00+00:00,59576,2024-02-28 06:25:00+00:00,CLOSED,LOSS,-2.73,1.082,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,27.3,27.3,54.7,82.0
bc662933-1f06-4928-9f14-6989b7632eb7,72edb2ef-1f6b-413f-ac7a-eb56746a9e50,EURUSD,BUY,2024,Asia,A,1.08164,1.0791,1.08418,1.08671,1.08925,1.08164,1.0791,1.08418,1.08671,1.08925,0.01,56326,2024-02-26 00:15:00+00:00,59580,2024-02-28 06:29:00+00:00,CLOSED,BREAKEVEN,1.37,1.08184,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,25.4,25.4,50.7,76.1
92382600-149c-41d8-a0eb-fbab3121d3c2,e3803e7d-4c5d-4ffc-9fe7-735b4ca62c67,EURUSD,BUY,2024,Asia,B,1.08196,1.07967,1.08425,1.08654,1.08883,1.08196,1.07967,1.08425,1.08654,1.08883,0.01,59576,2024-02-28 06:25:00+00:00,59708,2024-02-28 08:37:00+00:00,CLOSED,LOSS,-2.29,1.07967,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,22.9,22.9,45.8,68.7
19ddf7f0-cd64-48b1-88eb-7492c41176a1,ef6fafb2-c593-4a26-92d0-f17b639fc083,EURUSD,BUY,2024,Asia,B,1.07865,1.07646,1.08084,1.08304,1.08523,1.07865,1.07646,1.08084,1.08304,1.08523,0.01,62086,2024-03-01 00:15:00+00:00,63389,2024-03-03 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.07865,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,21.9,21.9,43.9,65.8
4ace21b3-6187-4e11-9b06-bc1f80238a9f,41fafb7b-983b-4479-93be-57bc49c6c986,EURUSD,SELL,2024,Asia,B,1.08707,1.08945,1.08469,1.0823,1.07992,1.08707,1.08945,1.08469,1.0823,1.07992,0.01,63524,2024-03-04 00:15:00+00:00,64829,2024-03-04 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.08707,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,23.8,23.8,47.7,71.5
3399e835-be9d-4a2c-a45f-04812216a298,14bf8688-e466-41b7-8adb-60afd862e402,EURUSD,SELL,2024,Asia,A,1.08457,1.08695,1.08219,1.0798,1.07742,1.08457,1.08695,1.08219,1.0798,1.07742,0.01,63524,2024-03-04 00:15:00+00:00,65789,2024-03-05 14:00:00+00:00,CLOSED,LOSS,-2.38,1.08695,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,23.8,23.8,47.7,71.5
a33d6e91-6479-4095-8f6c-d5ce935e7716,b4f6519a-9277-4e02-b6f9-de3c69990664,EURUSD,SELL,2024,Asia,A,1.08496,1.08728,1.08264,1.08032,1.07799,1.08496,1.08728,1.08264,1.08032,1.07799,0.01,66404,2024-03-06 00:15:00+00:00,66863,2024-03-06 07:54:00+00:00,CLOSED,LOSS,-2.32,1.08728,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,23.2,23.2,46.4,69.7
c793ae49-d8d1-4b10-a77c-ae85e486a4a9,fcc8902b-da68-4426-9443-bd607f45c4d0,EURUSD,BUY,2024,Asia,A,1.08115,1.07896,1.08334,1.08554,1.08773,1.08115,1.07896,1.08334,1.08554,1.08773,0.01,62086,2024-03-01 00:15:00+00:00,66923,2024-03-06 08:54:00+00:00,CLOSED,WIN,3.84,1.08773,TP3_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,21.9,21.9,43.9,65.8
c844ac5d-eab5-459c-b743-7bf6379cf032,71447b44-e630-4013-8c1b-f348acef74c5,EURUSD,SELL,2024,London,B,1.08746,1.08978,1.08514,1.08282,1.08049,1.08746,1.08978,1.08514,1.08282,1.08049,0.01,66872,2024-03-06 08:03:00+00:00,67274,2024-03-06 14:45:00+00:00,CLOSED,LOSS,-2.32,1.08978,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,23.2,23.2,46.4,69.7
33e98577-1da0-40de-9df0-f15eb956b3ac,9b5c97d5-1a87-4d7c-b27f-eb94b4458141,EURUSD,SELL,2024,Asia,A,1.09511,1.09788,1.09234,1.08957,1.08681,1.09511,1.09788,1.09234,1.08957,1.08681,0.01,69284,2024-03-08 00:15:00+00:00,70019,2024-03-08 12:31:00+00:00,CLOSED,BREAKEVEN,1.48,1.09491,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,27.7,27.7,55.4,83.0
93149458-c7fc-449e-95ae-f7c84bbcd374,f0945094-245c-4f27-99c8-6d8d2012f090,EURUSD,SELL,2024,Asia,B,1.09671,1.09964,1.09378,1.09085,1.08793,1.09671,1.09964,1.09378,1.09085,1.08793,0.01,70722,2024-03-11 00:15:00+00:00,72027,2024-03-11 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09671,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,29.3,29.3,58.6,87.8
f19b6c41-e5a6-49f4-8b6c-6f7675bd6c30,128355fd-8255-4831-8e3c-8160c0e480b0,EURUSD,SELL,2024,Asia,A,1.09421,1.09714,1.09128,1.08835,1.08543,1.09421,1.09714,1.09128,1.08835,1.08543,0.01,70722,2024-03-11 00:15:00+00:00,72839,2024-03-12 11:32:00+00:00,CLOSED,BREAKEVEN,1.56,1.09401,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,29.3,29.3,58.6,87.8
196b77f1-8660-4547-abd6-26bc88188d08,ded795e3-98d5-468e-a19a-4df054d549a3,EURUSD,SELL,2024,Asia,B,1.09534,1.09823,1.09245,1.08957,1.08668,1.09534,1.09823,1.09245,1.08957,1.08668,0.01,72162,2024-03-12 00:15:00+00:00,73467,2024-03-12 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09534,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,28.9,28.9,57.7,86.6
a0cf774f-58fd-4de5-bddd-36af396da4dd,04f8d638-7227-4fd9-9272-e9fe770f48ba,EURUSD,SELL,2024,London,B,1.09761,1.10038,1.09484,1.09207,1.08931,1.09761,1.10038,1.09484,1.09207,1.08931,0.01,70029,2024-03-08 12:41:00+00:00,74542,2024-03-13 15:55:00+00:00,CLOSED,WIN,3.45,1.09484,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,27.7,27.7,55.4,83.0
af3dcfdf-2eac-4b7a-ad1a-360ed163bbb3,2267f280-c241-4574-a7d7-7c5cedfa3985,EURUSD,SELL,2024,Asia,A,1.09284,1.09573,1.08995,1.08707,1.08418,1.09284,1.09573,1.08995,1.08707,1.08418,0.01,72162,2024-03-12 00:15:00+00:00,74549,2024-03-13 16:02:00+00:00,CLOSED,LOSS,-2.89,1.09573,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,28.9,28.9,57.7,86.6
ce200b35-1aca-4170-811d-483ddfebe99a,0b612606-e51b-413a-81ea-887cd098550f,EURUSD,SELL,2024,Asia,A,1.09268,1.09562,1.08974,1.08681,1.08387,1.09268,1.09562,1.08974,1.08681,1.08387,0.01,73602,2024-03-13 00:15:00+00:00,74549,2024-03-13 16:02:00+00:00,CLOSED,LOSS,-2.94,1.09562,SL_HIT,5.0,1000.0,0.0,0.0,1:3,0.0,29.4,29.4,58.7,88.1
6156720a-0b65-4f30-9449-eb1921a61f01,7e934a21-acb8-40c8-94b2-ec30bb84147b,EURUSD,SELL,2024,Asia,B,1.09737,1.10001,1.09473,1.0921,1.08946,1.09737,1.10001,1.09473,1.0921,1.08946,0.01,75042,2024-03-14 00:15:00+00:00,76347,2024-03-14 22:00:00+00:00,CLOSED,CANCELLED,0.0,1.09737,EXPIRED_DAY_END,5.0,1000.0,0.0,0.0,1:3,0.0,26.4,26.4,52.7,79.1
