trade_id,signal_id,pair,direction,year,session,entry_leg,entry_price,sl_price,tp1_price,tp2_price,tp3_price,entry,sl,tp1,tp2,tp3,lot,open_bar,open_time,close_bar,close_time,status,result,profit_usd,exit_price,exit_reason,margin_used,entry_amount,monetary_loss_at_sl,monetary_profit_at_tp,rr_ratio,tp3_pips,sl_pips,tp1_pips,tp2_pips
5a60bce5-bacc-494d-b85f-eb02fec16aa3,881b4039-7d69-4604-8089-77fa5e8dc418,XAGUSD,BUY,2024,Asia,B,27.386,26.9341,27.8379,28.2898,28.7417,27.386,26.9341,27.8379,28.2898,28.7417,0.01,245938,2024-09-10 00:15:00+00:00,247181,2024-09-10 22:00:00+00:00,CLOSED,CANCELLED,0.0,27.386,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,45.2,45.2,90.4
c1b39e1f-f8a3-4aaf-b5dc-b7a3b5d323e7,3b6b8b03-b771-4f7b-a29b-5ea7fcf35db6,XAGUSD,BUY,2024,Asia,A,28.336,27.8841,28.7879,29.2398,29.6917,28.336,27.8841,28.7879,29.2398,29.6917,0.01,245938,2024-09-10 00:15:00+00:00,248145,2024-09-11 14:04:00+00:00,CLOSED,BREAKEVEN,11.8,28.356,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,45.2,45.2,90.4
b29726f3-664f-4c3c-b31e-f16b3f9338b2,b8286505-8d47-4016-9943-00810a52fbe7,XAGUSD,BUY,2024,Asia,B,27.475,27.0552,27.8948,28.3146,28.7344,27.475,27.0552,27.8948,28.3146,28.7344,0.01,247316,2024-09-11 00:15:00+00:00,248560,2024-09-11 22:00:00+00:00,CLOSED,CANCELLED,0.0,27.475,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,42.0,42.0,84.0
5b18bc84-4539-45a3-9df7-a86b87128c9e,27984f0c-7b75-41fd-9e23-1d3cdf2b6ec5,XAGUSD,BUY,2024,Asia,A,27.97,27.5205,28.4195,28.869,29.3185,27.97,27.5205,28.4195,28.869,29.3185,0.01,244561,2024-09-09 00:15:00+00:00,249471,2024-09-12 13:11:00+00:00,CLOSED,WIN,39.34,29.3185,TP3_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,45.0,45.0,89.9
583123b9-f4b1-4929-b7d5-0e19ab3cd4b2,eaff29df-8773-4626-bdd5-a549606aee46,XAGUSD,BUY,2024,Asia,B,27.708,27.2668,28.1492,28.5904,29.0316,27.708,27.2668,28.1492,28.5904,29.0316,0.01,248695,2024-09-12 00:15:00+00:00,249939,2024-09-12 22:00:00+00:00,CLOSED,CANCELLED,0.0,27.708,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,44.1,44.1,88.2
c3cc48d4-2124-4539-8264-40e99551da00,fd043b82-5e4f-45d2-90d8-301d0538f310,XAGUSD,BUY,2024,Asia,A,28.658,28.2168,29.0992,29.5404,29.9816,28.658,28.2168,29.0992,29.5404,29.9816,0.01,248695,2024-09-12 00:15:00+00:00,250119,2024-09-13 01:00:00+00:00,CLOSED,WIN,38.6,29.9816,TP3_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,44.1,44.1,88.2
d12a0700-5b3d-4ce8-a25f-df52a6cd316e,c4eee290-475c-4a52-90ef-cc8936dc64e4,XAGUSD,SELL,2024,Asia,A,28.5,30.0,27.0,25.5,24.0,28.5,30.0,27.0,25.5,24.0,0.01,247316,2024-09-11 00:15:00+00:00,250128,2024-09-13 01:09:00+00:00,CLOSED,LOSS,-75.0,30.0,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,150.0,150.0,300.0
b4bcaf46-e724-4bec-bc29-2df82034db66,189f188a-985d-4dee-bffc-6e57f46a4c9e,XAGUSD,SELL,2024,Asia,A,29.908,30.3892,29.4268,28.9456,28.4644,29.908,30.3892,29.4268,28.9456,28.4644,0.01,250074,2024-09-13 00:15:00+00:00,250849,2024-09-13 13:10:00+00:00,CLOSED,LOSS,-24.06,30.3892,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,48.1,48.1,96.2
f0183982-e98f-4c71-b0b2-fb3ba5627f97,1872d38d-469a-4332-b173-b860b550361b,XAGUSD,SELL,2024,Asia,B,31.808,32.254,31.362,30.916,30.47,31.808,32.254,31.362,30.916,30.47,0.01,251451,2024-09-16 00:15:00+00:00,252695,2024-09-16 22:00:00+00:00,CLOSED,CANCELLED,0.0,31.808,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,44.6,44.6,89.2
5b0947bc-d2ae-4fe0-86f8-ede5628bea93,81781561-7d37-455a-9844-965a740e8eaa,XAGUSD,SELL,2024,Asia,B,31.688,32.1171,31.2589,30.8298,30.4007,31.688,32.1171,31.2589,30.8298,30.4007,0.01,252830,2024-09-17 00:15:00+00:00,254074,2024-09-17 22:00:00+00:00,CLOSED,CANCELLED,0.0,31.688,EXPIRED_DAY_END,2.0,1000.0,0.0,0.0,1:3,0.0,42.9,42.9,85.8
7cb7813f-5227-43af-8484-ee5a35600911,7d5faed6-c398-472c-b528-17d66a4d424b,XAGUSD,SELL,2024,Asia,A,30.738,31.1671,30.3089,29.8798,29.4507,30.738,31.1671,30.3089,29.8798,29.4507,0.01,252830,2024-09-17 00:15:00+00:00,255274,2024-09-18 18:00:00+00:00,CLOSED,BREAKEVEN,11.23,30.718,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,42.9,42.9,85.8
b7a32f39-63b8-49d8-97d4-f6fbb58c6803,2a9e0a81-6df5-41da-8260-b6bba39d208d,XAGUSD,SELL,2024,Asia,A,30.715,31.1385,30.2915,29.868,29.4445,30.715,31.1385,30.2915,29.868,29.4445,0.01,254209,2024-09-18 00:15:00+00:00,255274,2024-09-18 18:00:00+00:00,CLOSED,BREAKEVEN,11.09,30.695,SL_HIT,2.0,1000.0,0.0,0.0,1:3,0.0,42.4,42.4,84.7
